CÓDIGO;AUTOR;TÍTULO;EJEM.
320/0001;BUNGE MARIO;100 IDEAS EL LIBRO PARA PENSAR Y DISCUTIR EN EL CAFE;1
320/0002;COMISION NACIONAL DE INVESTIGACION;11-S. EL INFORME EXTRACTO DEL INFORME FINAL DE LOS ATENTADOS TERRORISTAS CONTRA ESTADOS UNIDOS;1
320/0007;TOURAINE ALAIN/FARHAD KHOSROKHAVAR;A LA BUSQUEDA DE SI MISMO DIALOGO SOBRE EL SUJETO;2
320/0008;METHOL FERRE ALBERTO;ABELARDO RAMOS/CREADOR DE LA IZQUIERDA UNIDA;1
320/0009;WALLERSTEIN IMMANUEL (COORDINADOR);ABRIR LAS CIENCIAS SOCIALES;2
320/0010;SCHLUCHTER WOLFGANG;ACCION, ORDEN Y CULTURA/ESTUDIOS PARA UN PROGRAMA DE INVESTIGACION EN CONEXIÓN CON MAX WEBER;1
320/0012;THOMAS HERNAN/ALFONSO BUCH (COORDINADORES);ACTOR, ACTORES Y ARTEFACTOS (SOCIOLOGIA DE LA TECNOLOGIA);2
320/0015;LOZA TELLERIA GABRIEL;ADIÓS A LAS IDEOLOGÍAS;1
320/0016;SCHWARZBÖCK SILVIA;ADORNO Y LO POLITICO;2
320/0017;LOGIUDICE EDGARGO;AGABEM Y EL ESTADO DE EXCEPCION (UNA MIRADA MARXISTA);1
320/0018;UTOPÍA LIBERTARIA COLECCIÓN;AGENDA ANARQUISTA 2006;1
320/0019;KENNAN GEORGE F.;AL FINAL DE UN SIGLO (REFLEXIONES 1982-1995);1
320/0020;JARDIN ANDRE;ALEXIS DE TOCQUEVILLE 1805-1859;1
320/0022;TOER MARIO/MARTINEZ SAMECK PABLO.;ALTERNATIVAS EN AMERICA LATINA (LOS DILEMAS DE LA IZQUIERDA EN EL SIGLO XXI);2
320/0025;DUPAS GILBERTO (COORDINADOR) Y OTROS;AMERICA LATINA A COMIENZOS DEL SIGLO XXI (PERSPECTIVAS ECONOMICAS, SOCIALES Y POLITICA);1
320/0026;MARINI RUY MAURO ;AMERICA LATINA (DEPENDENCIA Y GLOBALIZACION);1
320/0027;REGALADO ALVAREZ ROBERTO;AMERICA LATINA ENTRE SIGLOS (DOMINACION, CRISIS, LUCHA SOCIAL Y ALTERNATIVAS POLITICAS DE LA IZQUI;1
320/0028;RODAS GERMAN /CASTRO NILS Y OTROS;AMERICA LATINA HOY ¿REFORMA O REVOLUCION?;1
320/0029;GOMEZ JOSE MARIA Y OTROS;AMERICA LATINA Y EL (DES) ORDEN GLOBAL NEOLIBERAL (HEGEMONIA, CONTRAHEGEMONIA, PERSPECTIVAS);1
320/0033;BERNARD HENRI LEVY;AMERICAN VERTIGO (UN VIAJE POR ESTADOS ;1
320/0034;LEVIS DIEGO;AMORES EN RED (RELACIONES AFECTIVAS EN LA ERA INTERNET);1
320/0035;MARIO R. SANTUCHO ;LA GUERRILLA DE IZQUIERDA;1
320/0037;BAIGORRIA OSVALDO;ANARQUISMO TRASHUMANTE (CRONICAS DE CROTOS Y LINYERAS);1
320/0038;VIÑAS DAVID;ANARQUISTAS EN AMERICA LATINA;1
320/0039;GONZALES DE OLARTE EFRAIN/TRIVELU CAROLINA;ANDENES Y DESARROLLO SUSTENTABLE;1
320/0040;ADAMOSVSKY EZEQUIEL;ANTICAPITALISMO LA NUEVA GENERACION DE MOVIMIENTOS EMANCIPADOS;1
320/0041;D, ESCOTO MIGUEL;ANTIIMPERIALISMO Y NOVIOLENCIA;1
320/0043;GRAMSCI ANTONIO;ANTOLOGIA;3
320/0045;DUCH LLUIS;ANTROPOLOGIA DE LA VIDA COTIDIANA (SIMBOLISMO Y SALUD);1
320/0046;CUESTA ABAD JOSE MANUEL;APOLIS (DOS ENSAYOS SOBRE LA POLITICA DEL ORIGEN);1
320/0047;PLATON;APOLOGIA DE SOCRATES;2
320/0049;CONSEJO DE DECANOS DE LA FAC. DE CS. SOC. Y HUMANAS;APORTES A LAS CIENCIAS SOCIALES Y HUMANAS AL ANALISIS DE LA PROBLEMÁTICA UNIVERSITARIA;1
320/0050;TULA MARIA INES;APORTES PARA LA DISCUSION DE LA REFORMA POLITICA BONAERENSE ;1
320/0051;TAPIA NELSON;APRENDIENDO EL DESARROLLO ENDOGENO SOSTENIBLE (CONSTRUYENDO LA DIVERSIDAD BIO-CULTURAL);1
320/0052;LUDMER JOSEFINA;AQUÍ AMERICA LATINA (UNA ESPECULACION);1
320/0054;MARTINEZ FRANZONI JULIANA;¿ARAÑANDO BIENESTAR? (TRABAJO REMUNERADO, PROTECCION SOCIAL Y FAMILIAS EN AMERICA CENTRAL);1
320/0055;DEVOTO FERNANDO/FAUSTO BORIS;ARGENTINA BRASIL 1850-2000 (UN ENSAYO DE HISTORIA COMPARADA);3
320/0056;FAGNANI JUAN CARLOS;ARGENTINA PROBLEMA, ARGENTINA PROBLEMÁTICA;1
320/0057;MONIZ BANDEIRA LUIS ALBERTO;ARGENINA, BRASIL Y ESTADOS UNIDOS DE LA TRIPLE ALIANZA AL MERCOSUR;1
320/0058;DUGINI de DE CANDIDO MARIA INES;ARGENTINA CHILE MERCOSUR (CAMBIOS Y CONTINUIDADES);1
320/0060;LLOYD GEOFFREY;ARISTOTELES (DESARROLLO Y ESTRUCTURA DE SU PENSAMIENTO);2
320/0061;DIDEROT DENIS/JEAN LE ROND D, ALEMBERT;LA ENCICLOPEDIA (SELECCIÓN DE ARTICULOS POLITICOS);1
320/0062;PISARELLO VIRASORO ROBERTO GUSTAVO;ARTURO FRONDIZI SU PENSAMIENTO;1
320/0063;ALAYÓN NORBERTO;ASISTENCIA Y ASISTENCIALISMO ¿POBRES CONTROLADOS O ERRADICACION DE LA POBREZA?;1
320/0064;KORNHAUSER WILLIAN;ASPECTOS POLITICOS DE LA SOCIEDAD DE MASAS;2
320/0065;MANSILLA H.C.F.;ASPECTOS RESCATABLES DEL MUNDO PREMODERNO;1
320/0066;CHALIAND GERARD;ATLAS DEL NUEVO ORDEN MUNDIAL;1
320/0067;SURIANO JUAN;AUGE Y CAIDA DEL ANARQUISMO (ARGENTINA 1880-1930);1
320/0068;MINTZ FRANK;AUTOGESTION Y ANARCOSINDICALISMO (EN LA ESPAÑA REVOLUCIONARIA);1
320/0069;RODRIGUEZ MARIA CARLA;AUTOGESTION, POLITICAS DEL HABITAT Y TRANSFORMACION SOCIAL;2
320/0070;OFFE CLAUS;AUTORRETRATO A DISTANCIA (TOCQUEVILLE, WEBER Y ADORNO EN LOS ESTADOS UNIDOS);1
320/0071;GRONDONA MARIANO;BAJO EL IMPERIO DE LAS IDEAS MORALES (LAS CAUSAS NO ECONOMICAS DEL DESARROLLO ECONOMICO);1
320/0072;MINTZ FRANK (COMPILADOR);BAKUNIN CRITICA Y ACCION;1
320/0073;FLORES MARIO CESAR;BASES PARA UNA POLITICA MILITAR;1
320/0074;ALBERDI JUAN BAUTISTA;BASES (Y PUNTOS DE PARTIDA PARA LA ORGANIZACIÓN POLÍTICA DE LA REPÚBLICA ARGENTINA);2
320/0076;STUART MILL JOHN;BENTHAM (ESTUDIO PRELIMINAR , TRADUCCION Y NOTAS DE CARLOS MELLISO);1
320/0077;BARON ANA/DEL CARRIL MARIO/GOMEZ ALBINO;BILL CLINTON (LAS CLAVES DE SU GOBIERNO);1
320/0078;DE CUITIÑOMARTHA/GIANNACCARI DE MATHUS L. Y OTROS;BIOETICA SUS INSTITUCIONES);2
320/0080;BISANG ROBERTO/GUTMAN/LAVARELLO Y OTROS;BIOTECNOLOGÍA Y DESARROLLO (UN MODELO PARA ARMAR EN ARGENTINA);1
320/0081;HERNANDEZ JUAN LUIS/ARMIDA MARISA GABRIELA/ OTROS ;BOLIVIA CONFLICTO Y CAMBIO SOCIAL(1985-2009);2
320/0082;CONDORCET DE CARITAT MARIE JEAN ANTOINE NICOLAS;BOSQUEJO DE UN CUADRO ISTORICO DE LOS PROGRESOS DEL ESPIRITU HUMANO;1
320/0083;NOSIGUA JULIO E.;BOTÍN DE GUERRA;1
320/0084;STEPAN ALFRED;BRASIL: LOS MILITARES Y LA POLÍTICA;1
320/0085;KENNETH GALBRAITH JOHN;BREVE HISTORIA DE LA EUFORIA FINANCIERA;1
320/0086;OROZCO JOSE LUIS/DAVILA CONSUELO;BREVARIO POLÍTICO DE LA GLOBALIZACIÓN ;1
320/0087;NATANSON JOSE;BUENOS MUCHACHOS (VIDA Y OBRA DE LOS ECONOMISTAS DEL ESTABLISHMENT);1
320/0088;BIERNAT CAROLINA ;¿BUENOS O UTILES? (LA POLITICA INMIGRATORIA DEL PERONISMO);1
320/0089;FREDERIC SABINA;BUENOS VECINOS, MALOS POLÍTICOS (MORALIDAD Y POLITICA EN EL GRAN BUENOS AIRES);1
